"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Large language models for ontology engineering: a systematic literature review","https://scispace.com/paper/WPd5MCB8mj0J","","","","J Li
D Garijo
M Poveda-Villalón","","https://www.semantic-web-journal.net/system/files/swj4001.pdf","… corpus of resources used to generate or evaluate different OE tasks at our GitHub repository.In addition, the corpus … In these roles, LLMs support the automation of ontology construction …",""
"A short review for ontology learning: Stride to large language models trend","https://scispace.com/paper/Cqd2hyUrdFoJ","","","","R Du
H An
K Wang
W Liu","","https://arxiv.org/pdf/2404.14991","… Ontology learning involves the construction of ontologies from a given corpus. In the past … focus on concept extraction by using large language models in ontology learning procedure. …",""
"Do llms really adapt to domains? an ontology learning perspective","https://scispace.com/paper/do-llms-really-adapt-to-domains-an-ontology-learning-3nfyrtq0w4fn","2024","Journal Article","","Huu Tan Mai
Cuong Xuan Chu
Heiko Paulheim","10.48550/arxiv.2407.19998","https://arxiv.org/pdf/2407.19998?","… to the generalization capability … corpus of a particular domain, we evaluate a LLM on two different tasks: relation extraction and taxonomy discovery, each on both versions of the corpus. …","Large Language Models (LLMs) have demonstrated unprecedented prowess across various natural language processing tasks in various application domains. Recent studies show that LLMs can be leveraged to perform lexical semantic tasks, such as Knowledge Base Completion (KBC) or Ontology Learning (OL). However, it has not effectively been verified whether their success is due to their ability to reason over unstructured or semi-structured data, or their effective learning of linguistic patterns and senses alone. This unresolved question is particularly crucial when dealing with domain-specific data, where the lexical senses and their meaning can completely differ from what a LLM has learned during its training stage. This paper investigates the following question: Do LLMs really adapt to domains and remain consistent in the extraction of structured knowledge, or do they only learn lexical senses instead of reasoning? To answer this question and, we devise a controlled experiment setup that uses WordNet to synthesize parallel corpora, with English and gibberish terms. We examine the differences in the outputs of LLMs for each corpus in two OL tasks: relation extraction and taxonomy discovery. Empirical results show that, while adapting to the gibberish corpora, off-the-shelf LLMs do not consistently reason over semantic relationships between concepts, and instead leverage senses and their frame. However, fine-tuning improves the performance of LLMs on lexical semantic tasks even when the domain-specific terms are arbitrary and unseen during pre-training, hinting at the applicability of pre-trained LLMs for OL. "
"Generating ontology-learning training-data through verbalization","https://scispace.com/paper/generating-ontology-learning-training-data-through-36pbqikk5noi","2024","Journal Article","","Antonio Zaitoun
Tomer Sagi
Mor Peleg","10.1609/aaaiss.v4i1.31797","https://ojs.aaai.org/index.php/AAAI-SS/article/download/31797/33964","… Our LLM-based approach, on the other hand, is domain-agnostic and adaptable, providing a more flexible solution that doesn’t require extensive reconfiguration for new domains. …","Ontologies play an important role in the organization and representation of knowledge. However, in most cases, ontologies do not fully cover domain knowledge, resulting in a gap. This gap, often expressed as a lack of concepts, relations, or axioms, is usually filled by domain experts in a manual and tedious process. Utilizing large language models (LLMs) can ease this process; a fine-tuned LLM could receive as input up-to-date and reliable domain knowledge natural text and output a structured graph in OWL RDF/Turtle format, which is the standard format of ontologies. Thus, to fine-tune a model, text-owl sentence pairs that constitute such a dataset must be acquired. Unfortunately, such a dataset does not exist in the literature or within the open-source community. Therefore, this paper introduces our LLM-assisted verbalizer to create such a data set by converting OWL statements from existing ontologies into natural text. We evaluate the verbalizer on 322 classes from four different ontologies using two different LLMs, achieving precision and recall as high as 0.99 and 0.96, respectively."
"Ontotune: Ontology-driven self-training for aligning large language models","https://scispace.com/paper/ontotune-ontology-driven-self-training-for-aligning-large-iek64n2nij10","2025","Journal Article","arXiv.org","Zhiqiang Liu
Chengtao Gan
Junjie Wang
Yichi Zhang
Zhongpu Bo
Mengshu Sun
Hua-zeng Chen
Wen Zhang","10.48550/arxiv.2502.05478","https://dl.acm.org/doi/pdf/10.1145/3696410.3714816","… the definitions of concepts are crucial for ontology learning tasks. Considering that our frame… the model’s task adaptability and domain generalization capabilities in previous work [15, 41…",""
"Semi-Automatic Domain Ontology Construction: LLMs, Modularization, and Cognitive Representation","https://scispace.com/paper/semi-automatic-domain-ontology-construction-llms-g26wpw7vbq5o","2025","Journal Article","","Silvia Borowicc
Solange Alves-Souza","10.5220/0013718000004000","https://www.scitepress.org/Papers/2025/137180/137180.pdf","… from heterogeneous document collections, and prompt-guided LLM … generalization capability. These results support the idea that LLMs bring a new perspective to ontology learning, …",": Domain ontology construction is a complex and resource-intensive task, traditionally relying on extensive manual effort from ontology engineers and domain experts. While Large Language Models (LLMs) show promise for automating parts of this process, studies indicate they often struggle with capturing domain-specific nuances, maintaining ontological consistency, and identifying subtle relationships, frequently requiring significant human curation. This paper presents a semi-automatic method for domain ontology construction that combines the capabilities of LLMs with established ontology engineering practices, modularization, and cognitive representation. We developed a pipeline incorporating semantic retrieval from heterogeneous document collections, and prompt-guided LLM generation. Two distinct scenarios were evaluated to assess the influence of prior structured knowledge: one using only retrieved document content as input, and another incorporating expert-defined structured seed terms alongside document content. The approach was applied to the domain of Dengue surveillance and control, and the resulting ontologies were evaluated based on structural metrics and logical consistency. Results showed that the scenario incorporating expert-defined seed terms yielded ontologies with greater conceptual coverage, deeper hierarchies and improved cognitive representation compared to the scenario without prior structured knowledge. We also observed significant performance variations between different LLM models regarding their ability to capture semantic details and structure complex domains. This work demonstrates the viability and benefits of a hybrid approach for ontology construction, highlighting the crucial role of combining LLMs with human expertise for more efficient, consistent, and cognitively aligned ontology engineering. The findings support an iterative and incremental ontology development process and suggest LLMs are valuable assistants when guided by domain-specific inputs and integrated into a structured methodology."
"Combining large language models and ontologies for knowledge-driven robotic manipulation","https://scispace.com/paper/fyYfQS2TzOoJ","","","","V Molina Díez","","https://upcommons.upc.edu/bitstreams/a5e0035f-aada-4f70-a6de-aa62f4f843c7/download","… framework that integrates Large Language Models (LLMs) … Third, an LLM is used to generate the goal state from the user … Also, sincence this method aims to be generalizable for any …",""
"Smart Ontology Construction: Combining Human Expertise with LLMs for Smarter Business Taxonomies","https://scispace.com/paper/_UY259FGyEkJ","","","","R Rajamani","","https://repository.learn-portal.org/index.php/rps/article/download/1003/885","… While the Large Language Models (LLMs) are very capable … relevance of LLM assisted ontology construction this research … The purpose of this research is to document the ways in …",""
"Large language models for the creation and use of semantic ontologies in buildings: Requirements and challenges","https://scispace.com/paper/large-language-models-for-the-creation-and-use-of-semantic-2m6y5yyb8w78","2024","Journal Article","","Ozan Baris Mulayim
Lazlo Paul
Marco Pritoni
Anand Krishnan Prakash
Malavikha Sudarshan
Gabe Fierro","10.1145/3671127.3698792","https://dl.acm.org/doi/pdf/10.1145/3671127.3698792","… This paper builds on our experience in investigating how Large Language Models (LLMs) … for evaluating the scalability and effectiveness of LLM-based tools, while also discussing the …",""
"Ontology population with large language models (LLMS): a case study on asbestos ontology","https://scispace.com/paper/ontology-population-with-large-language-models-llms-a-case-7ewdi3qzk7rs","2025","Journal Article","Applied Ontology","Sarah Ayad
Lydia Khelifa Chibout","10.1177/15705838251334528","","… part of the circular economy, require a generalization of this ontology to a … document to extract entities, including classes, properties, and instances. (2) Upon loading the OWL document …",""
