"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Autoschemakg: Autonomous knowledge graph construction through dynamic schema induction from web-scale corpora","https://scispace.com/paper/autoschemakg-autonomous-knowledge-graph-construction-through-k561asv6hgsd","2025","Journal Article","arXiv.org","Jianwei Bai
Wei Fan
Qi Hu
Qing Zong
Chunyang Li
Hong Ting Tsang
Hongyu Luo
Yauwai Yim
Haoyu Huang
Xiao Zhou
Feng Qin
Tianshi Zheng
Xi Peng
Xin Yao
Huiwen Yang
Leijie Wu
Yi Ji
Gong Zhang
Renhai Chen
Yangqiu Song","10.48550/arxiv.2505.23628","https://arxiv.org/pdf/2505.23628","… LLM performance, our findings demonstrate significant improvements in knowledge-intensive domains, even those covered in LLM … predefined schemas limit cross-domain scalability, …",""
"LLM-empowered knowledge graph construction: A survey","https://scispace.com/paper/llm-empowered-knowledge-graph-construction-a-survey-yddaqjvznj6g","2025","Journal Article","","H Bian","10.48550/arxiv.2510.20345","https://arxiv.org/pdf/2510.20345","… 2025a), introduced the use of Metacognitive Prompting for ontology generation, enabling … However, its dependence on rigid ontological templates restricts scalability and cross-domain …","Knowledge Graphs (KGs) have long served as a fundamental infrastructure for structured knowledge representation and reasoning. With the advent of Large Language Models (LLMs), the construction of KGs has entered a new paradigm-shifting from rule-based and statistical pipelines to language-driven and generative frameworks. This survey provides a comprehensive overview of recent progress in LLM-empowered knowledge graph construction, systematically analyzing how LLMs reshape the classical three-layered pipeline of ontology engineering, knowledge extraction, and knowledge fusion. We first revisit traditional KG methodologies to establish conceptual foundations, and then review emerging LLM-driven approaches from two complementary perspectives: schema-based paradigms, which emphasize structure, normalization, and consistency; and schema-free paradigms, which highlight flexibility, adaptability, and open discovery. Across each stage, we synthesize representative frameworks, analyze their technical mechanisms, and identify their limitations. Finally, the survey outlines key trends and future research directions, including KG-based reasoning for LLMs, dynamic knowledge memory for agentic systems, and multimodal KG construction. Through this systematic review, we aim to clarify the evolving interplay between LLMs and knowledge graphs, bridging symbolic knowledge engineering and neural semantic understanding toward the development of adaptive, explainable, and intelligent knowledge systems. "
"Domain Knowledge Graph Construction Approach Based on Large Language Models","https://scispace.com/paper/vK9HaFKgY_kJ","","","","X Cai
M Ren
Y Zeng
Z Fan","","","… knowledge graph construction based on LLM. This method leverages the text generation … Agent fixes a unified output schema to eliminate crossdomain format drift; an Extraction Agent …",""
"Taxonomy-driven knowledge graph construction for domain-specific scientific applications","https://scispace.com/paper/taxonomy-driven-knowledge-graph-construction-for-domain-vrtpjsqeuozy","2025","Proceedings Article","","Huitong Pan
Qi Zhang
Mustapha Adamu
Eduard Dragut
Longin Jan Latecki","10.18653/v1/2025.findings-acl.223","https://aclanthology.org/2025.findings-acl.223.pdf","… semantics, and validating LLM outputs using RAG against the … that taxonomy-guided LLM prompting combined with RAG-… the taxonomy to a cross-domain knowledge base, Wikidata, …",""
"A BERT-Assisted LLM Framework for Knowledge Graph Construction","https://scispace.com/paper/OMVplOnQ9-0J","","","","Y Jiang
K Huang
X Zhang
W Xu","","","… for LLM-based triple extraction that integrates dynamic prompt generation and BERT assistance, … Despite limitations in crossdomain transferability, BERT offers advantages in parameter …",""
"Customized Information and Domain-centric Knowledge Graph Construction with Large Language Models","https://scispace.com/paper/customized-information-and-domain-centric-knowledge-graph-giiy04dm9erh","2024","Journal Article","","Frank Wawrzik
Matthias Plaue
Savan Vekariya
Christoph Grimm","10.48550/arxiv.2409.20010","https://arxiv.org/pdf/2409.20010?","… This process resulted in the generation of 120 clusters, with 60 clusters being comprised of … In our approach, generating knowledge graph TBox triples from text using GPT models is …","In this paper we propose a novel approach based on knowledge graphs to provide timely access to structured information, to enable actionable technology intelligence, and improve cyber-physical systems planning. Our framework encompasses a text mining process, which includes information retrieval, keyphrase extraction, semantic network creation, and topic map visualization. Following this data exploration process, we employ a selective knowledge graph construction (KGC) approach supported by an electronics and innovation ontology-backed pipeline for multi-objective decision-making with a focus on cyber-physical systems. We apply our methodology to the domain of automotive electrical systems to demonstrate the approach, which is scalable. Our results demonstrate that our construction process outperforms GraphGPT as well as our bi-LSTM and transformer REBEL with a pre-defined dataset by several times in terms of class recognition, relationship construction and correct ""sublass of"" categorization. Additionally, we outline reasoning applications and provide a comparison with Wikidata to show the differences and advantages of the approach. "
"Enhancing Knowledge Graph Construction with Automated Source Evaluation Using Large Language Models","https://scispace.com/paper/enhancing-knowledge-graph-construction-with-automated-source-qv156hy7xvfx","2025","Journal Article","","Hendrik Hendrik
Silmi Fauziati
Adhistya Erna Permanasari","10.3897/jucs.137103","","… , cross-domain validation, and automated optimization. … text generation and language-related tasks including but not … of LLM-based automated evaluation tools in knowledge graph …",""
"Extract, define, canonicalize: An llm-based framework for knowledge graph construction","https://scispace.com/paper/extract-define-canonicalize-an-llm-based-framework-for-1hwxr7dbc2","2024","Journal Article","arXiv.org","Bowen Zhang
Harold Soh","10.48550/arxiv.2404.03868","https://aclanthology.org/2024.emnlp-main.548.pdf","… 2022) have employed large language models (LLMs) in view of their remarkable natural language understanding and generation capabilities. LLM-… 2023) and code generation (Bi et al.…","In this work, we are interested in automated methods for knowledge graph creation (KGC) from input text. Progress on large language models (LLMs) has prompted a series of recent works applying them to KGC, e.g., via zero/few-shot prompting. Despite successes on small domain-specific datasets, these models face difficulties scaling up to text common in many real-world applications. A principal issue is that in prior methods, the KG schema has to be included in the LLM prompt to generate valid triplets; larger and more complex schema easily exceed the LLMs' context window length. To address this problem, we propose a three-phase framework named Extract-Define-Canonicalize (EDC): open information extraction followed by schema definition and post-hoc canonicalization. EDC is flexible in that it can be applied to settings where a pre-defined target schema is available and when it is not; in the latter case, it constructs a schema automatically and applies self-canonicalization. To further improve performance, we introduce a trained component that retrieves schema elements relevant to the input text; this improves the LLMs' extraction performance in a retrieval-augmented generation-like manner. We demonstrate on three KGC benchmarks that EDC is able to extract high-quality triplets without any parameter tuning and with significantly larger schemas compared to prior works."
"Cross-Domain Knowledge Transfer using LLMs and Domain-Specific Knowledge Graphs","https://scispace.com/paper/cross-domain-knowledge-transfer-using-llms-and-domain-cpzfn9jn1yxw","2025","Journal Article","","Rajeev Kumar
Harsh Kumar
Kumari Shalini","10.1109/mpseciceta64837.2025.11118450","","… the effectiveness of cross-domain knowledge transfer using large language models (LLM) and … Li, “Challenges in knowledge graph integration for cross-domain applications,” Journal of …",""
"Semi-Automatic Domain Ontology Construction: LLMs, Modularization, and Cognitive Representation","https://scispace.com/paper/semi-automatic-domain-ontology-construction-llms-g26wpw7vbq5o","2025","Journal Article","","Silvia Borowicc
Solange Alves-Souza","10.5220/0013718000004000","https://www.scitepress.org/Papers/2025/137180/137180.pdf","… , and prompt-guided LLM generation. Two distinct scenarios … are generic and domain-independent ontological models that … In the scenario where we provided keywords, the LLM could …",": Domain ontology construction is a complex and resource-intensive task, traditionally relying on extensive manual effort from ontology engineers and domain experts. While Large Language Models (LLMs) show promise for automating parts of this process, studies indicate they often struggle with capturing domain-specific nuances, maintaining ontological consistency, and identifying subtle relationships, frequently requiring significant human curation. This paper presents a semi-automatic method for domain ontology construction that combines the capabilities of LLMs with established ontology engineering practices, modularization, and cognitive representation. We developed a pipeline incorporating semantic retrieval from heterogeneous document collections, and prompt-guided LLM generation. Two distinct scenarios were evaluated to assess the influence of prior structured knowledge: one using only retrieved document content as input, and another incorporating expert-defined structured seed terms alongside document content. The approach was applied to the domain of Dengue surveillance and control, and the resulting ontologies were evaluated based on structural metrics and logical consistency. Results showed that the scenario incorporating expert-defined seed terms yielded ontologies with greater conceptual coverage, deeper hierarchies and improved cognitive representation compared to the scenario without prior structured knowledge. We also observed significant performance variations between different LLM models regarding their ability to capture semantic details and structure complex domains. This work demonstrates the viability and benefits of a hybrid approach for ontology construction, highlighting the crucial role of combining LLMs with human expertise for more efficient, consistent, and cognitively aligned ontology engineering. The findings support an iterative and incremental ontology development process and suggest LLMs are valuable assistants when guided by domain-specific inputs and integrated into a structured methodology."
